#name=Regions with enrichment >= 5
#description= Algorithm: Enriched Region Detection |  Parameters: |    Read List = Read List filtered on read quality metrics |    Treatment = 1668-WPT-3_sequence_only_sacCer2_sorted |    Control = 1668-WPT-1_sequence_only_sacCer2_sorted |    Enrichment Factor = 5 |    Window Size (bp) = 100 |    Minimum reads in window = 10 |    Window Slide Size (bp) = 50 |    Minimum region size (bp) = 150 |    Minimum reads in region = 15 |    Upstream padding distance for genes = 5000
Chromosome	Start	End	Read Density	Treatment Count	Control Count	Enrichment Factor	Gene Symbol	Longest Transcript	Overlap Type	Distance to TSS	
chrIV	667901	668200	2.5266666	758	90	5.5824714	SPO71	YDR104C	Upstream	-3142
chrIV	667901	668200	2.5266666	758	90	5.5824714	TMS1	YDR105C	Upstream	-1282
chrIV	667901	668200	2.5266666	758	90	5.5824714	GSG1	YDR108W	Upstream	-3217
chrIV	884301	884601	2.847176	857	92	6.1743717	tI(UAU)D		CDS-Exon	92
chrIV	884301	884601	2.847176	857	92	6.1743717	YDR210C-D	YDR210C-D	Upstream	-526
chrIV	884301	884601	2.847176	857	92	6.1743717	YDR210C-C	YDR210C-C	Upstream	-526
chrIV	884301	884601	2.847176	857	92	6.1743717	TCP1	YDR212W	Upstream	-2779
chrIV	884301	884601	2.847176	857	92	6.1743717	GCD6	YDR211W	Upstream	-274
chrIV	946201	946600	2.5725	1029	121	5.6367636	YDR239C	YDR239C	Upstream	-2983
chrIV	946201	946600	2.5725	1029	121	5.6367636	SNU56	YDR240C	Upstream	-1251
chrIV	946201	946600	2.5725	1029	121	5.6367636	AMD2	YDR242W	Upstream	-404
chrIV	946201	946600	2.5725	1029	121	5.6367636	PEX5	YDR244W	Upstream	-4160
chrIV	955301	955549	0.33734939	84	11	5.0615835	VHS1	YDR247W	Upstream	-585
chrIV	975252	975449	0.55050504	109	12	6.0206733	HSP78	YDR258C	Upstream	-1110
chrIV	975252	975449	0.55050504	109	12	6.0206733	YAP6	YDR259C	CDS-Exon	429
chrIV	975252	975449	0.55050504	109	12	6.0206733	RKM4		Upstream	-3879
chrIV	1017101	1017400	2.8566666	857	102	5.5690413	PMP3	YDR276C	Upstream	-3610
chrIV	1017101	1017400	2.8566666	857	102	5.5690413	tE(CUC)D		CDS-Exon	25
chrIV	1017101	1017400	2.8566666	857	102	5.5690413	MTH1	YDR277C	Upstream	-1551
chrIV	1017101	1017400	2.8566666	857	102	5.5690413	RNH202	YDR279W	Upstream	-2115
chrIV	1017101	1017400	2.8566666	857	102	5.5690413	RRP45	YDR280W	Upstream	-3494
chrIV	1075351	1075650	2.7633333	829	83	6.620279	tV(CAC)D		CDS-Exon	41
chrIV	1075351	1075650	2.7633333	829	83	6.620279	RSC3	YDR303C	Upstream	-4117
chrIV	1075351	1075650	2.7633333	829	83	6.620279	CPR5	YDR304C	Upstream	-2946
chrIV	1075351	1075650	2.7633333	829	83	6.620279	YDR306C	YDR306C	Upstream	-332
chrIV	1075351	1075650	2.7633333	829	83	6.620279	YDR307W	YDR307W	Upstream	-362
chrIV	1075351	1075650	2.7633333	829	83	6.620279	HNT2		Upstream	-2015
chrIV	1084802	1085000	0.6934673	138	16	5.716878	GIC2	YDR309C	Upstream	-4705
chrIV	1084802	1085000	0.6934673	138	16	5.716878	TFB1	YDR311W	Upstream	-162
chrIV	1084802	1085000	0.6934673	138	16	5.716878	SSF2	YDR312W	Upstream	-2678
chrIV	1084802	1085000	0.6934673	138	16	5.716878	SUM1	YDR310C	Upstream	-588
chrIV	1150751	1151050	2.9333334	880	101	5.775121	tX(XXX)D		CDS-Exon	36
chrIV	1150751	1151050	2.9333334	880	101	5.775121	YDR338C	YDR338C	Upstream	-1439
chrIV	1150751	1151050	2.9333334	880	101	5.775121	FCF1		Upstream	-385
chrIV	1201701	1201900	2.35	470	59	5.280143	tK(CUU)D1		CDS-Exon	57
chrIV	1201701	1201900	2.35	470	59	5.280143	TFC6	YDR362C	Upstream	-3110
chrIV	1201701	1201900	2.35	470	59	5.280143	SEM1	YDR363W-A	Upstream	-321
chrIV	1224251	1224449	0.6683417	133	16	5.5097446	YDR374W-A	YDR374W-A	Upstream	-400
chrIV	1224251	1224449	0.6683417	133	16	5.5097446	VPS74	YDR372C	Upstream	-2208
chrIV	1224251	1224449	0.6683417	133	16	5.5097446	YDR374C	YDR374C	CDS-Exon	37
chrIV	1224251	1224449	0.6683417	133	16	5.5097446	ARH1	YDR376W	Upstream	-2465
chrIV	1224251	1224449	0.6683417	133	16	5.5097446	ATP17	YDR377W	Upstream	-4254
chrIV	1242251	1242450	0.365	73	8	6.048291	YDR381C-A	YDR381C-A	Upstream	-3507
chrIV	1242251	1242450	0.365	73	8	6.048291	ATO3	YDR384C	Upstream	-326
chrIV	1242251	1242450	0.365	73	8	6.048291	NKP1		Upstream	-1681
chrIV	1242251	1242450	0.365	73	8	6.048291	MUS81	YDR386W	Upstream	-3727
chrIV	1242251	1242450	0.365	73	8	6.048291	EFT2	YDR385W	Upstream	-873
chrIV	1305551	1305751	1.8756219	377	41	6.0947695	tS(AGA)D3		CDS-Exon	28
chrIV	1305551	1305751	1.8756219	377	41	6.0947695	HKR1	YDR420W	Upstream	-609
chrIV	1385401	1385700	0.54	162	19	5.6514673	YDR461C-A	YDR461C-A	CDS-Exon, 3'UTR	209
chrIV	1385401	1385700	0.54	162	19	5.6514673	MRPL28	YDR462W	Upstream	-516
chrIV	1385401	1385700	0.54	162	19	5.6514673	HEH2		Upstream	-3511
chrIV	1385401	1385700	0.54	162	19	5.6514673	PFA5		Upstream	-2114
chrIV	1385401	1385700	0.54	162	19	5.6514673	STP1		Upstream	-1259
chrIV	1385401	1385700	0.54	162	19	5.6514673	SPP41	YDR464W	Upstream	-3315
chrIV	1461601	1461900	2.9766667	893	98	6.0398364	tL(CAA)D		CDS-Exon	72
chrIV	1461601	1461900	2.9766667	893	98	6.0398364	YDR506C	YDR506C	Upstream	-203
chrIV	1461601	1461900	2.9766667	893	98	6.0398364	PSP1	YDR505C	Upstream	-2537
chrIV	1476801	1477000	0.35	70	9	5.1553164	YDR514C	YDR514C	Upstream	-3908
chrIV	1476801	1477000	0.35	70	9	5.1553164	EMI2	YDR516C	Upstream	-431
chrIV	1476801	1477000	0.35	70	9	5.1553164	EUG1	YDR518W	Upstream	-1701
chrIV	1476801	1477000	0.35	70	9	5.1553164	FPR2	YDR519W	Upstream	-3518
chrIV	1476801	1477000	0.35	70	9	5.1553164	GRH1		Upstream	-332
chrIV	1486251	1486450	0.655	131	17	5.1076627	YDR524W-C	YDR524W-C	Upstream	-3046
chrIV	1486251	1486450	0.655	131	17	5.1076627	SNA2	YDR525W-A	Upstream	-4239
chrIV	1486251	1486450	0.655	131	17	5.1076627	SPS2	YDR522C	Upstream	-1054
chrIV	1486251	1486450	0.655	131	17	5.1076627	SPS1	YDR523C	CDS-Exon	681
chrIV	1486251	1486450	0.655	131	17	5.1076627	URC2		Upstream	-2954
chrIV	1486251	1486450	0.655	131	17	5.1076627	RBA50	YDR527W	Upstream	-4737
chrIV	1503201	1503399	0.4321608	86	11	5.1820974	HSP31	YDR533C	Upstream	-1147
chrIV	1503201	1503399	0.4321608	86	11	5.1820974	YDR532C	YDR532C	Upstream	-2754
chrIV	1503201	1503399	0.4321608	86	11	5.1820974	STL1	YDR536W	Upstream	-4697
chrIV	1523156	1523350	0.44102564	86	8	7.125384	PAU10		CDS-Exon	18
chrIV	1523156	1523350	0.44102564	86	8	7.125384	YDR541C	YDR541C	Upstream	-2570
chrIV	1523156	1523350	0.44102564	86	8	7.125384	YRF1-1	YDR545W	Upstream	-3054
chrIV	1523351	1523600	0.564	141	14	6.6756086	PAU10		CDS-Exon	240
chrIV	1523351	1523600	0.564	141	14	6.6756086	YDR541C	YDR541C	Upstream	-2792
chrIV	1523351	1523600	0.564	141	14	6.6756086	YRF1-1	YDR545W	Upstream	-2832
chrIV	1524152	1524599	1.1361607	509	57	5.918924	YDR541C	YDR541C	Upstream	-3692
chrIV	1524152	1524599	1.1361607	509	57	5.918924	YRF1-1	YDR545W	Upstream	-1932
chrIV	1524751	1524950	0.565	113	13	5.761491	YDR541C	YDR541C	Upstream	-4167
chrIV	1524751	1524950	0.565	113	13	5.761491	YRF1-1	YDR545W	Upstream	-1457
chrIV	1525051	1525341	0.7079038	206	21	6.5020113	YDR541C	YDR541C	Upstream	-4513
chrIV	1525051	1525341	0.7079038	206	21	6.5020113	YRF1-1	YDR545W	Upstream	-1111
chrV	13253	13450	0.85353535	169	22	5.091712	RMD6	YEL072W	Upstream	-369
chrV	13253	13450	0.85353535	169	22	5.091712	DLD3	YEL071W	Upstream	-3004
chrV	19651	19899	0.5943775	148	15	6.5398874	DSF1		CDS-Exon	186
chrV	20001	20200	0.685	137	14	6.48623	DSF1		CDS-Exon	511
chrV	20304	20850	0.9250457	506	53	6.3281164	DSF1		CDS-Exon	988
chrV	23551	23749	0.39698493	79	10	5.2363286	HPA3	YEL066W	Upstream	-3017
chrV	23551	23749	0.39698493	79	10	5.2363286	HXT13	YEL069C	Upstream	-419
chrV	23551	23749	0.39698493	79	10	5.2363286	SIT1	YEL065W	Upstream	-4007
chrV	42601	42800	0.465	93	10	6.1642857	SOM1	YEL059C-A	CDS-Exon	-76
chrV	42601	42800	0.465	93	10	6.1642857	PRB1	YEL060C	Upstream	-747
chrV	42601	42800	0.465	93	10	6.1642857	PCM1	YEL058W	Upstream	-552
chrV	42601	42800	0.465	93	10	6.1642857	HAT2	YEL056W	Upstream	-4468
chrV	42601	42800	0.465	93	10	6.1642857	CIN8		Upstream	-3163
chrV	117751	118200	2.1555555	970	102	6.303349	EAF5	YEL018W	Upstream	-3496
chrV	117751	118200	2.1555555	970	102	6.303349	RPR1		CDS-Exon	60
chrV	135351	135600	3.036	759	82	6.135186	tQ(UUG)E2		Upstream	-4322
chrV	135351	135600	3.036	759	82	6.135186	tK(CUU)E1		CDS-Exon	22
chrV	135351	135600	3.036	759	82	6.135186	tR(UCU)E		Upstream	-3191
chrV	173901	174099	0.8743719	174	21	5.49199	TIR1	YER011W	Upstream	-1247
chrV	173901	174099	0.8743719	174	21	5.49199	SEC3	YER008C	Upstream	-2183
chrV	173901	174099	0.8743719	174	21	5.49199	YER010C	YER010C	Upstream	-663
chrV	173901	174099	0.8743719	174	21	5.49199	PRE1	YER012W	Upstream	-3834
chrV	173901	174099	0.8743719	174	21	5.49199	tE(UUC)E1		Upstream	-3098
chrV	173901	174099	0.8743719	174	21	5.49199	PRP22	YER013W	Upstream	-4840
chrV	250201	250500	2.6866667	806	96	5.56498	tQ(UUG)E1		CDS-Exon	65
chrV	250201	250500	2.6866667	806	96	5.56498	CAJ1	YER048C	Upstream	-2194
chrV	250201	250500	2.6866667	806	96	5.56498	ISD11		Upstream	-367
chrV	250201	250500	2.6866667	806	96	5.56498	TPA1		Upstream	-1377
chrV	250201	250500	2.6866667	806	96	5.56498	JHD1		Upstream	-4305
chrV	250201	250500	2.6866667	806	96	5.56498	SAP1	YER047C	Upstream	-3848
chrV	311651	311900	0.908	227	29	5.188331	PTP3	YER075C	Upstream	-580
chrV	311901	312200	2.7266667	818	79	6.8631897	tA(UGC)E		CDS-Exon	41
chrV	311901	312200	2.7266667	818	79	6.8631897	PTP3	YER075C	Upstream	-855
chrV	327952	328149	0.8181818	162	21	5.1132326	UTP7	YER082C	Upstream	-2118
chrV	327952	328149	0.8181818	162	21	5.1132326	GET2		Upstream	-1023
chrV	327952	328149	0.8181818	162	21	5.1132326	ILV1	YER086W	Upstream	-423
chrV	327952	328149	0.8181818	162	21	5.1132326	AIM10		Upstream	-2522
chrV	327952	328149	0.8181818	162	21	5.1132326	YER085C	YER085C	CDS-Exon	86
chrV	354752	355100	3.3409743	1166	129	5.9911284	tE(UUC)E2		CDS-Exon	-4
chrV	354752	355100	3.3409743	1166	129	5.9911284	UBC6	YER100W	Upstream	-4632
chrV	354752	355100	3.3409743	1166	129	5.9911284	UBP9	YER098W	Upstream	-536
chrV	355151	355350	1.195	239	26	6.092904	UBC6	YER100W	Upstream	-4308
chrV	355151	355350	1.195	239	26	6.092904	UBP9	YER098W	Upstream	-212
chrV	422752	422950	0.61809045	123	13	6.2713575	RPS26B		Upstream	-1097
chrV	422752	422950	0.61809045	123	13	6.2713575	snR4		Upstream	-1843
chrV	422752	422950	0.61809045	123	13	6.2713575	YER130C	YER130C	Upstream	-409
chrV	435551	435950	2.7975	1119	142	5.223259	snR52		Upstream	-4534
chrV	435551	435950	2.7975	1119	142	5.223259	tH(GUG)E2		Upstream	-1142
chrV	435551	435950	2.7975	1119	142	5.223259	tK(CUU)E2		CDS-Exon	70
chrV	435551	435950	2.7975	1119	142	5.223259	tV(AAC)E1		Upstream	-2946
chrV	435551	435950	2.7975	1119	142	5.223259	GDI1	YER136W	Upstream	-3862
chrV	441851	442550	3.6914287	2584	224	7.646176	YER134C	YER134C	Upstream	-4401
chrV	441851	442550	3.6914287	2584	224	7.646176	YER137C	YER137C	Upstream	-385
chrV	441851	442550	3.6914287	2584	224	7.646176	SCR1		CDS-Exon	217
chrV	461902	462076	0.19428572	34	4	5.6340246	FTR1	YER145C	Upstream	-254
chrV	461902	462076	0.19428572	34	4	5.6340246	LSM5	YER146W	Upstream	-591
chrV	461902	462076	0.19428572	34	4	5.6340246	SPT15	YER148W	Upstream	-3309
chrV	461902	462076	0.19428572	34	4	5.6340246	UBP5	YER144C	Upstream	-1771
chrV	469301	469550	2.836	709	82	5.7310233	tV(AAC)E2		CDS-Exon	-27
chrV	469301	469550	2.836	709	82	5.7310233	SCC4	YER147C	Upstream	-4588
chrV	469301	469550	2.836	709	82	5.7310233	PEA2	YER149C	Upstream	-1960
chrV	487301	487500	2.235	447	54	5.4867296	tE(UUC)E3		CDS-Exon	-3
chrV	487301	487500	2.235	447	54	5.4867296	BEM2	YER155C	Upstream	-4557
chrV	487301	487500	2.235	447	54	5.4867296	YER156C	YER156C	Upstream	-3064
chrV	551201	551450	2.348	587	70	5.5582733	tI(AAU)E2		CDS-Exon	28
chrV	551201	551450	2.348	587	70	5.5582733	ISC10	YER180C	Upstream	-803
chrV	551201	551450	2.348	587	70	5.5582733	SLO1	YER180C-A	Upstream	-208
chrV	551201	551450	2.348	587	70	5.5582733	FMP10		Upstream	-1195
chrV	564051	564350	0.87	261	28	6.1784887	YER186C	YER186C	Upstream	-1580
chrV	564051	564350	0.87	261	28	6.1784887	YER187W	YER187W	Upstream	-2025
chrV	565202	565398	0.6395939	126	16	5.219758	YER186C	YER186C	Upstream	-2680
chrV	565202	565398	0.6395939	126	16	5.219758	YER187W	YER187W	Upstream	-925
chrV	568402	568600	0.4321608	86	6	9.500512	YER189W	YER189W	Upstream	-2649
chrV	568402	568600	0.4321608	86	6	9.500512	YRF1-2	YER190W	Upstream	-2974
chrV	569151	569449	1.0	299	31	6.393068	YER189W	YER189W	Upstream	-1850
chrV	569151	569449	1.0	299	31	6.393068	YRF1-2	YER190W	Upstream	-2175
chrVI	4551	4766	0.7407407	160	18	5.891791	YFL064C	YFL064C	Upstream	-812
chrVI	4551	4766	0.7407407	160	18	5.891791	DDI2		Upstream	-4887
chrVI	4551	4766	0.7407407	160	18	5.891791	YFL066C	YFL066C	Upstream	-2043
chrVI	4551	4766	0.7407407	160	18	5.891791	YFL065C	YFL065C	Upstream	-1320
chrVI	4551	4766	0.7407407	160	18	5.891791	COS4	YFL062W	Upstream	-1768
chrVI	4853	5300	0.78348213	351	40	5.8163013	YFL064C	YFL064C	Upstream	-1230
chrVI	4853	5300	0.78348213	351	40	5.8163013	DDI2		Upstream	-4469
chrVI	4853	5300	0.78348213	351	40	5.8163013	YFL066C	YFL066C	Upstream	-2461
chrVI	4853	5300	0.78348213	351	40	5.8163013	YFL065C	YFL065C	Upstream	-1738
chrVI	4853	5300	0.78348213	351	40	5.8163013	COS4	YFL062W	Upstream	-1350
chrVI	5552	5850	0.88294315	264	31	5.644716	YFL064C	YFL064C	Upstream	-1855
chrVI	5552	5850	0.88294315	264	31	5.644716	DDI2		Upstream	-3844
chrVI	5552	5850	0.88294315	264	31	5.644716	YFL066C	YFL066C	Upstream	-3086
chrVI	5552	5850	0.88294315	264	31	5.644716	YFL065C	YFL065C	Upstream	-2363
chrVI	5552	5850	0.88294315	264	31	5.644716	COS4	YFL062W	Upstream	-725
chrVI	6051	6350	0.68	204	24	5.6340246	YFL064C	YFL064C	Upstream	-2354
chrVI	6051	6350	0.68	204	24	5.6340246	DDI2		Upstream	-3345
chrVI	6051	6350	0.68	204	24	5.6340246	YFL066C	YFL066C	Upstream	-3585
chrVI	6051	6350	0.68	204	24	5.6340246	YFL065C	YFL065C	Upstream	-2862
chrVI	6051	6350	0.68	204	24	5.6340246	COS4	YFL062W	Upstream	-226
chrVI	7651	7850	0.57	114	9	8.395802	YFL064C	YFL064C	Upstream	-3904
chrVI	7651	7850	0.57	114	9	8.395802	DDI2		Upstream	-1795
chrVI	7651	7850	0.57	114	9	8.395802	SNZ3	YFL059W	Upstream	-3613
chrVI	7651	7850	0.57	114	9	8.395802	YFL065C	YFL065C	Upstream	-4412
chrVI	17651	17850	0.58	116	15	5.1258574	AAD16	YFL057C	Upstream	-2987
chrVI	17651	17850	0.58	116	15	5.1258574	AAD6	YFL056C	Upstream	-2319
chrVI	17651	17850	0.58	116	15	5.1258574	AGP3	YFL055W	CDS-Exon	746
chrVI	23801	23999	0.40703517	81	9	5.965438	YFL054C	YFL054C	Upstream	-1113
chrVI	23801	23999	0.40703517	81	9	5.965438	DAK2	YFL053W	CDS-Exon	477
chrVI	23801	23999	0.40703517	81	9	5.965438	YFL052W	YFL052W	Upstream	-4332
chrVI	28501	28699	0.43718594	87	9	6.4073224	YFL052W	YFL052W	CDS-Exon	368
chrVI	28952	29350	0.7017544	280	31	5.9868193	YFL052W	YFL052W	CDS-Exon	919
chrVI	30851	31098	0.8427419	209	26	5.328105	YFL051C	YFL051C	Upstream	-434
chrVI	101251	101500	2.404	601	66	6.035738	SMX2	YFL017W-A	Upstream	-2318
chrVI	101251	101500	2.404	601	66	6.035738	PAU5	YFL020C	Upstream	-1782
chrVI	101251	101500	2.404	601	66	6.035738	SUF9		CDS-Exon	5
chrVI	106751	106950	0.72	144	17	5.61453	YFL012W	YFL012W	Upstream	-3791
chrVI	106751	106950	0.72	144	17	5.61453	LPD1	YFL018C	Upstream	-3729
chrVI	106751	106950	0.72	144	17	5.61453	GNA1	YFL017C	Upstream	-2394
chrVI	106751	106950	0.72	144	17	5.61453	MDJ1	YFL016C	Upstream	-620
chrVI	106751	106950	0.72	144	17	5.61453	HSP12	YFL014W	Upstream	-400
chrVI	113302	113500	0.55778897	111	10	7.3573737	AUA1	YFL010W-A	Upstream	-1583
chrVI	113302	113500	0.55778897	111	10	7.3573737	IES1	YFL013C	Upstream	-3477
chrVI	113302	113500	0.55778897	111	10	7.3573737	HXT10	YFL011W	CDS-Exon	1062
chrVI	113302	113500	0.55778897	111	10	7.3573737	CDC4	YFL009W	Upstream	-2738
chrVI	114402	114600	0.5125628	102	12	5.6340246	AUA1	YFL010W-A	Upstream	-483
chrVI	114402	114600	0.5125628	102	12	5.6340246	IES1	YFL013C	Upstream	-4577
chrVI	114402	114600	0.5125628	102	12	5.6340246	CDC4	YFL009W	Upstream	-1638
chrVI	114402	114600	0.5125628	102	12	5.6340246	SMC1	YFL008W	Upstream	-4923
chrVI	114601	114800	0.57	114	15	5.037481	AUA1	YFL010W-A	Upstream	-284
chrVI	114601	114800	0.57	114	15	5.037481	IES1	YFL013C	Upstream	-4776
chrVI	114601	114800	0.57	114	15	5.037481	CDC4	YFL009W	Upstream	-1439
chrVI	114601	114800	0.57	114	15	5.037481	SMC1	YFL008W	Upstream	-4724
chrVI	136751	137000	0.78	195	24	5.3854647	MSH4	YFL003C	CDS-Exon	277
chrVI	136751	137000	0.78	195	24	5.3854647	YFL002W-A	YFL002W-A	Upstream	-1324
chrVI	136751	137000	0.78	195	24	5.3854647	YFL002W-B	YFL002W-B	Upstream	-1324
chrVI	137351	137650	3.16	948	113	5.560703	tN(GUU)F		CDS-Exon	54
chrVI	137351	137650	3.16	948	113	5.560703	MSH4	YFL003C	Upstream	-348
chrVI	137351	137650	3.16	948	113	5.560703	YFL002W-A	YFL002W-A	Upstream	-699
chrVI	137351	137650	3.16	948	113	5.560703	YFL002W-B	YFL002W-B	Upstream	-699
chrVI	162101	162350	2.684	671	83	5.3585124	tF(GAA)F		Upstream	-4224
chrVI	162101	162350	2.684	671	83	5.3585124	SUF20		CDS-Exon	3
chrVI	162101	162350	2.684	671	83	5.3585124	UBP6	YFR010W	Upstream	-2835
chrVI	162101	162350	2.684	671	83	5.3585124	GCN20	YFR009W	Upstream	-257
chrVI	167351	167600	2.456	614	68	5.9849324	SUP11		CDS-Exon	45
chrVI	167351	167600	2.456	614	68	5.9849324	YFR012W-A	YFR012W-A	Upstream	-1741
chrVI	167351	167600	2.456	614	68	5.9849324	YFR012W	YFR012W	Upstream	-406
chrVI	167351	167600	2.456	614	68	5.9849324	IOC3	YFR013W	Upstream	-2439
chrVI	167351	167600	2.456	614	68	5.9849324	AIM13		Upstream	-224
chrVI	169051	169250	0.63	126	15	5.567742	YFR012W-A	YFR012W-A	CDS-Exon, 5'UTR	-66
chrVI	169051	169250	0.63	126	15	5.567742	IOC3	YFR013W	Upstream	-764
chrVI	169051	169250	0.63	126	15	5.567742	AIM13		Upstream	-1899
chrVI	180901	181200	1.84	552	62	5.9012933	tG(GCC)F2		CDS-Exon	-14
chrVI	180901	181200	1.84	552	62	5.9012933	GSY1	YFR015C	Upstream	-4667
chrVI	180901	181200	1.84	552	62	5.9012933	FAB1	YFR019W	Upstream	-3440
chrVI	180901	181200	1.84	552	62	5.9012933	YFR016C	YFR016C	Upstream	-315
chrVI	183702	183900	0.40201005	80	9	5.891791	tG(GCC)F2		Upstream	-2765
chrVI	183702	183900	0.40201005	80	9	5.891791	YFR017C	YFR017C	Upstream	-952
chrVI	183702	183900	0.40201005	80	9	5.891791	YFR018C	YFR018C	CDS-Exon	409
chrVI	183702	183900	0.40201005	80	9	5.891791	FAB1	YFR019W	Upstream	-689
chrVI	183702	183900	0.40201005	80	9	5.891791	YFR016C	YFR016C	Upstream	-3066
chrVI	191451	191700	3.508	877	92	6.318465	tS(GCU)F		CDS-Exon	26
chrVI	191451	191700	3.508	877	92	6.318465	ATG18	YFR021W	Upstream	-3225
chrVI	199402	199600	1.0100503	201	19	7.012006	PES4	YFR023W	Upstream	-361
chrVI	199402	199600	1.0100503	201	19	7.012006	RUF22		CDS-Exon	300
chrVI	204851	205200	2.4942858	873	92	6.289646	tA(AGC)F		CDS-Exon	-41
chrVI	204851	205200	2.4942858	873	92	6.289646	HIS2	YFR025C	Upstream	-287
chrVI	204851	205200	2.4942858	873	92	6.289646	ECO1	YFR027W	Upstream	-2415
chrVI	204851	205200	2.4942858	873	92	6.289646	LSB3		Upstream	-1604
chrVI	222054	222297	0.4262295	104	12	5.744496	CDC26	YFR036W	Upstream	-4775
chrVI	222054	222297	0.4262295	104	12	5.744496	SMC2	YFR031C	Upstream	-2081
chrVI	222054	222297	0.4262295	104	12	5.744496	RPL2A		Upstream	-769
chrVI	222054	222297	0.4262295	104	12	5.744496	RRT5		CDS-Exon	772
chrVI	226651	226850	2.395	479	61	5.2048173	YFR032C-B	YFR032C-B	Upstream	-2789
chrVI	226651	226850	2.395	479	61	5.2048173	RPL29		Upstream	-3325
chrVI	226651	226850	2.395	479	61	5.2048173	QCR6	YFR033C	Upstream	-1993
chrVI	226651	226850	2.395	479	61	5.2048173	CDC26	YFR036W	Upstream	-200
chrVI	226651	226850	2.395	479	61	5.2048173	tK(CUU)F		CDS-Exon	-3
chrVI	226651	226850	2.395	479	61	5.2048173	PHO4	YFR034C	Upstream	-804
chrVI	226651	226850	2.395	479	61	5.2048173	YFR035C	YFR035C	Upstream	-297
chrVI	226651	226850	2.395	479	61	5.2048173	RRT5		Upstream	-3803
chrVI	226651	226850	2.395	479	61	5.2048173	IRC5		Upstream	-2617
chrVI	255952	256149	0.7323232	145	19	5.058412	RET2	YFR051C	Upstream	-4260
chrVI	255952	256149	0.7323232	145	19	5.058412	HXK1	YFR053C	Upstream	-1014
chrVI	267301	267499	0.5125628	102	13	5.200638	YFR057W	YFR057W	Upstream	-1648
chrVI	267652	267900	0.74698794	186	24	5.1369047	YFR057W	YFR057W	Upstream	-1272
chrVI	268852	269100	0.7630522	190	21	5.9970007	YFR057W	YFR057W	CDS-Exon, 5'UTR	-72
chrVI	269501	269799	0.9632107	288	34	5.61453				
chrVII	54	550	0.804829	400	42	6.3126326	COS12	YGL263W	Upstream	-2488
chrVII	901	1100	0.81	162	21	5.1132326	YGL262W	YGL262W	Upstream	-4312
chrVII	901	1100	0.81	162	21	5.1132326	COS12	YGL263W	Upstream	-1790
chrVII	3301	3550	0.768	192	25	5.0905066	YGL262W	YGL262W	Upstream	-1887
chrVII	3301	3550	0.768	192	25	5.0905066	YGL260W	YGL260W	Upstream	-3435
chrVII	3301	3550	0.768	192	25	5.0905066	COS12	YGL263W	CDS-Exon	635
chrVII	3551	3700	0.42666668	64	8	5.3026114	YGL262W	YGL262W	Upstream	-1687
chrVII	3551	3700	0.42666668	64	8	5.3026114	YGL260W	YGL260W	Upstream	-3235
chrVII	3551	3700	0.42666668	64	8	5.3026114	YPS5	YGL259W	Upstream	-4845
chrVII	3551	3700	0.42666668	64	8	5.3026114	COS12	YGL263W	CDS-Exon	835
chrVII	4452	4649	0.5808081	115	15	5.0816693	YGL262W	YGL262W	Upstream	-762
chrVII	4452	4649	0.5808081	115	15	5.0816693	YGL260W	YGL260W	Upstream	-2310
chrVII	4452	4649	0.5808081	115	15	5.0816693	YPS5	YGL259W	Upstream	-3920
chrVII	4452	4649	0.5808081	115	15	5.0816693	YGL258W-A	YGL258W-A	Upstream	-4612
chrVII	4752	4949	0.41414142	82	10	5.4351764	YGL262W	YGL262W	Upstream	-462
chrVII	4752	4949	0.41414142	82	10	5.4351764	YGL260W	YGL260W	Upstream	-2010
chrVII	4752	4949	0.41414142	82	10	5.4351764	YPS5	YGL259W	Upstream	-3620
chrVII	4752	4949	0.41414142	82	10	5.4351764	YGL258W-A	YGL258W-A	Upstream	-4312
chrVII	5251	5449	0.5879397	117	15	5.1700463	YGL262W	YGL262W	CDS-Exon, 5'UTR	38
chrVII	5251	5449	0.5879397	117	15	5.1700463	YGL260W	YGL260W	Upstream	-1510
chrVII	5251	5449	0.5879397	117	15	5.1700463	YPS5	YGL259W	Upstream	-3120
chrVII	5251	5449	0.5879397	117	15	5.1700463	YGL258W-A	YGL258W-A	Upstream	-3812
chrVII	5551	5750	0.655	131	12	7.235855	YGL262W	YGL262W	CDS-Exon	338
chrVII	5551	5750	0.655	131	12	7.235855	YGL260W	YGL260W	Upstream	-1210
chrVII	5551	5750	0.655	131	12	7.235855	YPS5	YGL259W	Upstream	-2820
chrVII	5551	5750	0.655	131	12	7.235855	YGL258W-A	YGL258W-A	Upstream	-3512
chrVII	6552	6850	0.69899666	209	23	6.023075	YGL260W	YGL260W	Upstream	-159
chrVII	6552	6850	0.69899666	209	23	6.023075	PAU11		CDS-Exon	-49
chrVII	6552	6850	0.69899666	209	23	6.023075	YPS5	YGL259W	Upstream	-1769
chrVII	6552	6850	0.69899666	209	23	6.023075	YGL258W-A	YGL258W-A	Upstream	-2461
chrVII	6552	6850	0.69899666	209	23	6.023075	VEL1		Upstream	-4409
chrVII	6851	7050	0.54	108	14	5.1132326	YGL260W	YGL260W	CDS-Exon, 5'UTR	90
chrVII	6851	7050	0.54	108	14	5.1132326	PAU11		Upstream	-298
chrVII	6851	7050	0.54	108	14	5.1132326	YPS5	YGL259W	Upstream	-1520
