Hybridization REF	TCGA-AO-A03P-01A-11R-A00Z-07
PARP11	0.590333333333333
DNALI1	4.51366666666667
OR4N4	0.165625
MAP2K6	0.4485
FSTL4	1.087
ANKRD47	1.255875
TMEM171	-0.9805
PNLIP	0.6855
YY1	-0.122333333333333
CCDC138	-1.92883333333333
AASDHPPT	-1.3107
CKS1B	-0.4033
MCM3	-0.749
ANAPC7	-0.163
FAM110A	2.43175
CDC37L1	1.57383333333333
THTPA	0.92325
NBPF20	-0.476
WDR24	0.9135
NPTX2	-2.1
CBLB	0.526166666666667
CETN1	0.341166666666667
RPUSD1	0.72475
FAF1	-0.27775
CDK6	-3.8214
HMX2	-0.1375
CSK	0.0243333333333333
TEAD2	1.986
SNAP25	-1.048
TUFT1	-0.028
TMTC3	0.2845
LCK	-2.45625
SGOL1	-1.4005
AKTIP	0.774
FURIN	0.354375
SOX12	0.632
DEFB103A	-0.10675
RAMP1	2.16325
KIR3DX1	0.394
GAS2L3	-0.917
PDE8A	-0.411
EDN3	5.8235
GMIP	0.6505
SF3A2	0.948
FN3KRP	-0.0215
SMAD7	1.91325
RHBDD2	1.01275
OR11H6	0.0025
PPP1R3B	-0.5448
C9orf23	0.42025
CADPS	-1.3125
GOLGA8A	-3.1005
TMEM57	0.679
RGL3	0.4015
S100A14	2.64725
FGFR2	0.6923125
XRCC3	-0.91675
RTN4RL2	0.935
MGC3771	1.1265
GH2	0.359166666666667
BTBD2	0.39825
LMO2	0.62025
RDBP	-0.198625
ACRBP	-1.5835
AMY2A	1.58625
DUOXA1	0.209
PTK7	-0.217
TWF2	-0.1035
FAM80A	-1.37175
TNNI2	-3.21183333333333
GLT25D1	-0.646
OCC-1	-1.696
CYC1	-0.130333333333333
RPL22	0.408545454545455
MORN3	1.16166666666667
DISP1	1.086
PRB2	-0.3955
CHUK	-0.897
HR	-1.19175
CCDC134	-0.812625
DENND4B	-0.90875
C14orf130	-0.327625
RAB33A	-1.40375
DCST2	0.584
TNMD	-2.20025
PEX7	1.3105
FAM62A	0.201625
SRD5A2L	0.20075
IL22	0.33125
RPS26	-1.84716666666667
HOXC5	0.574
SPATA6	1.041
FLJ38482	0.823375
ZNF234	0.9795
C18orf22	1.7375
SPATA22	0.8555
THOC1	-1.01825
CYP7B1	1.38075
KCNC3	0.166
C8orf42	-1.8145
ALDH1B1	0.3285
CCDC100	-0.1544
ARMC4	0.59075
FAM18B2	-0.6475
SLC44A1	0.33625
FBXO17	-1.37616666666667
C6orf107	-0.45975
C19orf29	-0.193
ZC3HAV1L	0.3105
PARP6	0.2824
SULT2A1	-4.254875
C1orf159	-0.1805
TMC1	0.450666666666667
CHST14	0.425875
GAMT	0.436666666666667
SMCP	-0.07
TSPAN33	0.134666666666667
MIDN	-0.40225
NOX4	1.9835
RNASEN	-0.6773
TBX1	0.992666666666667
SALL2	0.11225
C10orf35	4.561
CYP2E1	0.21975
LRFN2	1.147
ACO1	-1.32933333333333
IQCG	0.6752
MEGF9	2.38325
TM7SF4	0.769
PLEKHA1	-0.0390666666666667
STK33	-2.20525
C1orf210	2.338
SNUPN	1.2716
KIAA0406	-0.2039
C20orf29	0.666
TMEM55B	1.04775
OSTM1	-0.4955625
CLCN7	0.6815
OTP	0.11
FLJ23049	-0.27375
HEATR4	2.0145
MAP3K10	0.905
PCDHGA9	0.5675
AMDHD2	0.38875
LCTL	-1.679
PDCD2L	0.08975
CABLES2	-0.43675
SLC5A9	-0.272
CLCA2	-2.46983333333333
MGC16025	-0.6925
STRAP	-0.625333333333333
C20orf196	-0.133
RRBP1	0.297
NAT13	-0.96825
MAT2B	-0.26425
CSNK1D	-0.5445
KIR3DL1	0.23875
PRKAG3	0.054
ZNF599	0.953
PRM3	0.6675
PER2	0.6105
ASPHD1	-1.0935
PRMT6	0.2015
KCNE1L	-0.605214285714286
FAM118A	-1.71866666666667
TAF4	1.25325
NDUFB6	-0.21575
TRIM9	-1.12666666666667
PMFBP1	-1.90725
KY	0.1205
DKFZp762E1312	-1.77045454545455
CSMD1	-1.22275
TBP	-0.240666666666667
OR1Q1	0.3574
RETNLB	0.239
HPGD	-0.435857142857143
DNAJC12	4.35583333333333
FKBP1B	-1.21575
ANKRD24	0.518333333333333
CXXC5	1.15033333333333
IL3	0.253625
DRAM	1.3608
PTCH1	-2.166625
TP53BP1	1.591
SLC17A7	0.336125
COL25A1	-0.6479
AMACR	-0.0343333333333333
RHCG	-0.485
VPS13A	-0.7415
FAM55D	0.574
PRPF38B	-0.58025
OSBPL6	0.98025
PFDN5	0.6929
CMTM6	0.49775
KCNK12	-1.57075
RP2	-0.70375
C16orf52	-1.58825
PICK1	-0.3105
IFNE1	-1.3515
SEMA4B	2.86375
TYRO3	-2.2205
OR12D2	0.7055
CSNK1A1	0.2481
FANCF	1.625
LONP2	0.712625
TBL1Y	-0.32525
LDOC1L	-0.383
CCNC	-0.28275
C3orf60	0.19275
CHKA	-1.171
UBAP1	0.3485
MAP3K1	0.854
ANKRD9	-1.81325
FAM92A1	-3.2825
GAB2	-0.616625
AZU1	-0.4645
DIS3	-0.359916666666667
C21orf109	-0.8375
IQCB1	-1.08125
SPATS2	-0.315833333333333
EFCAB3	0.181
PRB3	0.266
FUZ	1.43833333333333
ZNF813	1.184
BMPER	-1.16816666666667
HEG1	-0.803
ALS2CR11	-1.456
SURF2	0.17025
PSMC1	-0.395916666666667
OR2D2	0.1325
SLC7A8	1.695
C4orf40	0.307
SPATA7	0.1985
MAZ	0.200416666666667
PIN4	0.76
PDE1A	-1.086875
TAF6L	-0.213666666666667
OR2T34	0.3565
KIAA0284	0.34175
ACADS	-0.899818181818182
MKRN2	-0.309
C18orf56	-0.49375
MS4A6E	0.325666666666667
GALNT4	0.9259
C22orf31	-0.3305
FLJ36070	0.2985
PSME4	-0.18525
TFG	-0.5094
EPHX2	0.207125
ANXA5	-0.41775
KRTAP1-1	0.1423
BATF	0.41225
KARS	-1.0915
MSTP9	0.068
GPR26	3.94125
CCDC72	0.31075
TEF	0.423666666666667
FOXK1	-0.7236
PRLHR	-0.305
EMX1	1.7
C11orf30	-1.086125
ICK	1.033125
THSD7B	-0.0605
C21orf100	-1.3265
DUOX1	-0.503
EFCAB4B	0.2545
UBE2G2	-1.01083333333333
C3orf54	0.28975
PARP1	-1.23325
FAM60A	-0.072
C6orf146	0.3205
OR9K2	0.0265
DDX55	-0.933333333333333
RPS15	-0.17525
ZNF618	0.97225
DKFZp686D0972	0.004
SSPO	-0.2865
SHFM3P1	0.8795
CPA6	-0.9895
JAG2	0.98875
DEFA3	0.632
PPBPL2	0.0906666666666667
CD34	4.327375
SLCO4A1	-2.822
AFG3L1	-1.04216666666667
SHD	-0.789
RP13-122B23.3	-0.0401666666666667
PRKCSH	-0.601333333333333
DPH5	0.0908333333333333
HLA-F	2.187375
TBC1D4	-0.438
RIG	0.0121666666666667
GLUD1	-0.692666666666667
HNRPCL1	0.476625
HBXIP	-0.46675
RNF207	0.3255
APIP	-0.7365
PLA2G3	-2.87166666666667
CCDC84	-2.216
MYLIP	0.0495384615384615
PHIP	-0.3505
AARS2	-0.114833333333333
DHX32	-0.15725
SCAPER	0.900166666666667
MEN1	0.04525
NIP7	-0.95575
FLJ25404	0.6095
FASTKD3	-0.871
TMEM158	-2.422
RARA	2.0345
BDH1	1.4205
ANKRD16	0.45025
CARM1	-0.091
SS18	0.718166666666667
IKZF2	-0.825083333333333
MYD88	0.78975
PML	1.54445
TAF1A	-1.1065
CBFB	-0.93425
HIST1H3H	-0.303333333333333
C7orf29	-1.02925
COMMD4	0.138666666666667
DPP3	-0.631
DAB2	-0.217625
LOC388882	0.365
YPEL4	-1.05675
AGBL3	1.0445
LRP6	-0.022
SERPINH1	-0.371
TLE1	-2.10975
CD244	-0.204
ZDHHC15	0.3625
MGLL	-0.0081
PLDN	2.46541666666667
LOC654346	1.686
FAP	1.83825
GPR37	-0.166833333333333
SCARA5	-1.3545
EBF4	3.27209090909091
LSM6	-0.321
MLLT1	-0.2349375
SLC5A12	0.96125
A2BP1	-0.406
COPS5	-0.0528333333333333
TPM4	-0.787642857142857
TNFSF4	1.24983333333333
ACADSB	0.898555555555556
HERPUD1	-0.2175
BCL2L11	-0.544222222222222
CEP78	-1.6565
CDCA3	-0.682875
WBSCR19	-0.1818
MYO1A	-2.3285
PPEF1	2.5705
LOC440348	-0.86825
CPEB2	1.32925
BPTF	0.109833333333333
RPL21	-0.019125
GSX2	0.028
ADPRH	0.753666666666667
C17orf68	1.04666666666667
KCNS1	-1.10833333333333
MLLT6	0.4301
PIWIL4	-0.48825
RNF26	-1.05975
RAP1B	0.194125
ADAMTS1	-3.1393
ZNF571	0.645
P2RY6	-0.758
TRIM21	1.16383333333333
CADM3	0.00774999999999998
NLRC5	0.8075
ADRA2B	0.214833333333333
LOC90835	-0.926375
PCF11	-1.07775
LOC400451	1.703
GLTSCR1	0.6843
C17orf88	-0.509666666666667
CDH16	-2.029
FGF7	1.1145
PCSK4	-0.485833333333333
NPC1L1	1.15766666666667
TAT	0.449625
TBCA	0.0975
MGC33407	0.34775
GPR115	-1.10475
CYGB	0.303
FNBP4	-0.6995
C12orf43	0.4355
CBL	-1.3591
CLECL1	-1.50775
PPAPDC1A	1.05225
WDR25	0.523833333333333
SGCA	1.5375
C22orf29	0.0421666666666667
YIPF1	0.84125
GALK2	2.86
RAB3B	-1.97325
LOC440087	-0.508
UCP1	-0.489
REEP5	1.646375
FADD	0.7364
FOXA1	3.687125
CACNA1A	0.3915
ABI1	-0.0103333333333333
GRIN2D	1.51375
SLC1A4	-0.705333333333333
LOC401127	-0.9345
HINT2	0.8315
PLD4	-0.1765
ZNF286A	-1.10775
ENY2	-0.62775
IL1F6	0.3185
PXDNL	0.95375
C20orf79	0.20725
TNFSF13B	2.78866666666667
DENND3	-0.80875
JARID1D	-3.12975
HIST1H2AK	1.468
LOC93349	-0.6233
SSH1	-0.9434
ENSA	0.49425
LOC219854	-0.343333333333333
CKAP2	-0.9443
DKFZP564J102	-0.0135
MGC87315	0.403666666666667
HNRPAB	0.38925
AMH	-0.5195
ZNF526	0.3725
BRUNOL5	-0.1391
CACNG3	0.324166666666667
TRPM1	-1.551
PPP2R1A	1.75775
COL2A1	3.11
DDN	-0.145666666666667
FLJ25770	1.17891666666667
HK2	0.0243571428571429
ELOVL6	-0.14225
MDK	-0.023
EPHX1	0.16725
RASSF2	-0.03675
DKFZP434B0335	-0.457
DLX3	0.8405
PRTN3	-0.58575
AVPR1A	0.49425
C21orf125	-2.2125
TNFAIP8	-1.741
GNB2L1	0.24425
CALCRL	3.28725
SCGB2A2	6.16433333333333
UBXD7	-0.12775
ZNF674	-0.0305
TMEM35	-0.919875
BRSK2	-0.52225
HECTD3	-0.230666666666667
TMEM188	-0.381916666666667
LGALS9	1.405125
SCARB2	0.56875
USP34	-0.594
C17orf28	1.643
ZDHHC23	-0.8055
AQP12B	0.778
SLC16A3	-2.918625
APLP2	0.349625
ITIH2	-5.0415
MICAL3	-1.16125
TNNI3K	0.4758
HDAC2	0.555125
PRR7	-0.0212
THBS2	-0.842
LOC751071	-1.08333333333333
CA2	-0.8795
RANBP17	0.0735
RLN3	0.2985
CRYZ	-0.0301666666666667
GBAS	0.307333333333333
TAS1R1	0.695
MPZL3	0.457
PCDH8	-2.105
HSP90B1	-0.374
KCNK15	0.152
TNIP2	0.977333333333333
GPR146	-1.21125
NOL6	0.6185
SPC25	-2.84422222222222
STEAP2	1.415
VAMP3	-0.478
TCIRG1	-0.46225
ZP4	-0.0336666666666666
PARL	-0.482625
TRIM39	0.5155
KIAA1305	0.165
CRNN	0.316
GRN	0.56775
HSH2D	-1.5905
SCAMP1	0.7809375
KIAA1913	0.04
PTS	-0.52325
BANP	0.164071428571429
PRKACG	0.0935
ADCY6	0.650166666666667
C16orf46	0.167
CYP51A1	-0.0631250000000001
DDC	-6.63275
ANPEP	-0.9015
PROM1	-2.89866666666667
SIGLEC10	1.26775
COPG	0.713
FAM26E	0.693875
TRIP4	0.01
SNX3	-0.235166666666667
C1orf175	0.304166666666667
PPY2	-0.038
C14orf152	0.38325
FTSJ1	-0.395333333333333
DST	-0.868578947368421
LOC554235	-0.182
GLRX5	-0.71575
C20orf12	1.8845
CAB39	0.135666666666667
MSH2	-1.21566666666667
PIP4K2C	1.153125
CYLD	0.8205
WTAP	0.2855
MGAT4A	0.385333333333333
TSC22D4	-0.0213
CHRM2	-1.131
PPYR1	0.156333333333333
CCNH	-0.173166666666667
RRM1	-0.701
ECAT8	-3.75525
LOC400120	-0.18275
GABRA4	-0.00874999999999999
C14orf4	0.980666666666666
C1orf59	0.8715
CTDSPL	0.0658333333333333
NHEDC2	-1.082
PDE11A	-0.5144
KLHL29	-2.6465
CD5	-1.2025
TSPAN9	1.36075
WDR67	-1.8565
THUMPD1	0.49
C18orf17	0.221
CLYBL	-0.1235
FLJ13231	-0.856875
CMBL	0.89675
LECT2	-0.28425
NKAPL	0.852833333333333
LOC654780	0.578
OR4C6	-0.2375
RAB30	-0.895833333333333
TSSK4	0.2605
TMEM163	-0.0955
OSBPL11	-0.02425
GNB5	-0.218666666666667
CCL21	0.37375
C1orf121	-0.361666666666667
FMO2	0.883833333333333
RPTN	-0.279
MSTN	-1.0015
VCL	0.630571428571429
FYTTD1	-0.00749999999999999
C11orf1	-0.28525
CCDC88C	0.115875
HFE	-1.0585
MOGAT1	0.587
FAM125B	0.639333333333333
IRGQ	0.1365
RAVER2	0.40825
AKAP5	-0.4225
SSSCA1	-0.7865
C11orf63	0.742375
ACTG2	-0.1799
PORCN	-0.847
DTL	-1.21890909090909
TMEM151	0.5605
FAM122C	-0.88775
RSAD2	3.0908
BAT4	-0.4415
KRTDAP	-1.169
MYH8	0.251875
CRTC3	0.981
LRRFIP2	0.0914
INTS4	-1.06883333333333
TTN	-1.07866666666667
SLC26A5	0.461
PLLP	0.46575
RGS6	-1.0575
SRGAP3	0.508875
ZNF525	1.42866666666667
NBR2	-0.1765
C13orf1	0.703
ZNF137	1.121
CEP27	1.58325
BEST2	0.322
RNF121	-1.12525
DMRTC2	-0.125333333333333
C8orf76	-0.3865
BCCIP	-1.0895
MEST	-2.16075
HTRA2	-0.6255
ANGPTL2	-0.2775
ILKAP	-0.451333333333333
ERAS	-0.226
HBS1L	-0.258125
CPA5	-0.0595
TMEM30A	0.333666666666667
CD300LF	1.4015
WISP3	-1.316
CRK	0.845357142857143
PDS5A	0.3349
BRPF3	0.566
NEDD9	-0.601875
SMPDL3B	0.85225
PSG6	-0.7315
PSMD13	0.57775
ETV5	-2.5598125
OR51A4	0.0765
BTBD7	0.214583333333333
GSTO1	-1.597875
hCG_16001	0.7275
MAD2L1BP	-0.0085
COX6A2	1.545
SCNN1A	1.04866666666667
LSM1	-0.298166666666667
UGT2B11	-3.17675
IDUA	-0.317
PPP2R3C	-0.786333333333333
COX11	-0.6025
PDZK1	1.1875
ZNF443	1.1555
MGC21874	1.58566666666667
ZNF323	1.71
KRTAP10-10	0.3345
CXCL6	-0.07475
SLC34A2	1.6949
LOC284402	1.7105
NPTN	1.37691666666667
UPP1	-2.484
SLC6A9	0.1875
OR7G3	0.0555
CISD1	-0.388
ZNF545	0.170666666666667
SYT14	-0.2545
NT5C3L	0.362666666666667
ZNHIT3	-0.0116666666666667
SNRPD3	-0.85925
KIAA0701	0.317875
UNC93B1	1.04633333333333
GMNN	-2.127375
SPCS2	-0.405
LOC388524	0.231
NAPRT1	-0.950875
PNLIPRP1	0.55625
OR6V1	0.848
PRKAB1	0.12525
EYA4	-2.94916666666667
KIF20A	-1.72075
ALG10	-0.00625000000000002
ITPKC	0.593333333333333
LMX1B	1.20116666666667
RPUSD4	-0.529
C7orf34	-0.0626666666666667
DLGAP2	0.220125
PFN1	-0.2353
MICALL2	-0.823333333333333
ZNF654	0.0825
SS18L1	0.789375
SLC16A8	-0.0325
MKI67IP	0.0331666666666667
ITGB3	-1.513
TCEA3	2.52916666666667
CEP152	-0.5176875
CLIP1	0.6505
ZNF75	0.5105625
ATP5C1	-0.265333333333333
NUDT5	-0.513666666666667
PSCDBP	-0.589
UBP1	-0.24975
RBM27	-0.833
C13orf15	1.872875
ZNF282	0.881666666666667
ZNF222	0.056
COL10A1	6.15825
PRDM15	-0.80225
TTTY5	0.3355
FAM9C	-0.477333333333333
C20orf67	0.02525
GNG13	1.5245
F12	0.4305
C1orf41	-0.9385
CPXCR1	0.296
GSK3A	-0.19275
SUPT6H	0.109666666666667
PI16	-1.38116666666667
ELL2	-1.71175
C9orf167	-1.373
PVRL3	-3.3026
FLJ38596	0.7045
ADAM20	-0.30825
GPR89A	0.4865
GPR87	-1.7175
ZNF30	0.57475
SMR3B	-0.14225
ZNF770	0.174875
TRPC4AP	1.145
DKFZP686E2158	0.405666666666667
C2orf28	-0.2295
FREM1	-3.28183333333333
LAMA4	0.0648333333333333
ADPRHL2	0.246
EIF4G2	0.369333333333333
GUCA1A	-0.5585
CTNNA2	-0.7455
NUDT15	-0.828833333333333
CEPT1	-0.621
ZNFX1	0.4989
CCDC92	0.95
TDRD1	-1.0505
KCNK5	-2.06816666666667
ETNK1	0.0995833333333333
LTA	0.3245
TTPA	0.674666666666667
B3GALNT2	-0.50075
SC65	1.028
PEX5L	-1.245625
EPS15L1	0.475
MGEA5	-0.724625
HIST1H3A	0.877
ING1	0.339375
BCAT1	-3.264375
ORC6L	-2.54090909090909
KLK11	-4.91683333333333
C19orf28	-0.978875
DNER	-4.378
MED22	-0.734785714285714
ETV6	1.29241666666667
CHAC2	-2.22825
CD300E	0.4485
CEBPB	0.911583333333333
ZNF398	0.3425
LRCH3	0.0465
HMGA1	-1.51333333333333
CAPN7	-0.150833333333333
MGC5566	-2.789
CCL3	2.65425
NANOS1	-1.416625
ZFYVE19	0.20525
APITD1	-0.15
PARD3	1.229125
IRAK4	0.171666666666667
SERPINI2	-0.128
CEP170L	-1.41575
TTC9	0.91925
MYOM3	-0.99375
MLPH	1.747625
LOC222699	-0.1275
NRG1	-2.12290909090909
TBC1D9	3.16763636363636
TTK	-2.18133333333333
ZNF557	0.3193
DDX41	-0.107833333333333
FANK1	1.682
UBE2D2	0.0495
PSMB10	-0.079875
MYH7B	1.2805
GABARAPL2	-0.212875
MARVELD2	2.07733333333333
DGCR2	0.238666666666667
UNC45A	0.345666666666667
C6orf72	0.2085
ZNF683	3.4135
GIT2	-0.247
CASK	1.17283333333333
C14orf161	0.6255
LRRC44	0.91175
TIFA	-0.01075
UTP11L	-0.6475
C6orf65	-1.449
FDPS	-0.5635
DUSP9	-1.783
SLC17A8	0.091
OR51G1	0.3405
NANS	-0.34325
OLFML1	1.202
ATP10B	-0.85675
NPAS3	-1.2775
PRKCA	-2.852
GGA2	0.4049375
LCE4A	-0.171
SPANXN3	0.168
CCDC115	1.685
SDCCAG3	-0.82225
GLIPR1L1	0.249
TTC1	-0.114
C17orf76	-0.6085
MAD2L2	-1.069
HIPK1	-0.4625
LRRC3B	-0.0896
CLN3	-0.277727272727273
C17orf47	0.865
FMN2	-3.354875
TUBB1	-1.724
WAPAL	0.378
C3orf21	0.055625
SCN5A	-0.445
SMYD1	0.27175
BEX5	1.0165
ZNF192	0.0735
SEC22A	-0.5285
GRIA2	1.42185714285714
KIAA0825	-1.6595
NUSAP1	-2.30790909090909
LANCL1	-0.3425
C15orf40	-0.3953
ZNF645	0.033625
GPR61	0.146
NLRP14	-0.109
SNX21	-1.2347
C1QTNF8	0.4805
C17orf46	0.06275
IFNA8	0.8465
SPRR1B	-1.9565
FLRT1	-0.43225
SNX17	-0.0888333333333334
ASB2	-0.644833333333333
HBG1	-5.441
RPRML	-3.079
JOSD2	1.1965
PLSCR3	0.03975
SPOCD1	-1.40866666666667
RAB39	0.4475
GHRH	-0.1515
ITIH5L	-0.114333333333333
C17orf37	0.64525
SMCR8	0.37075
DPY19L2P3	-0.281666666666667
IL11RA	-0.2325
GDF3	-3.41233333333333
RPS6KB1	-0.654333333333333
DNAJC19	-0.0458
TOP1	0.313
CRCT1	-0.941375
MPST	0.146
DPM2	0.413125
FAM38B	-0.402166666666667
SLC18A1	-2.54783333333333
FARP1	-0.754666666666667
PAX7	0.4105
TUBD1	-0.481
GNL3	0.462625
BTG2	0.204
NDUFS6	-0.58725
C1orf79	-1.34025
ERAL1	-0.1935
ECHS1	1.42975
VPS4A	-0.225666666666667
CYP11A1	0.598125
ABCC6	-1.95478571428571
PBX4	-3.285
MOSC1	-2.002875
NCF4	0.0495
HYMAI	0.345
NAGPA	0.298125
OTOP2	0.44125
ACOT12	-0.0495
MTHFD2L	-0.13175
LOC441376	3.5915
C19orf34	-0.529
RAB1B	-0.642
ALDOAP2	-0.1655
NTRK1	-1.61566666666667
ARTS-1	-0.9887
SLC6A11	0.435
NAP1L2	-2.29375
CNGB1	-0.0778333333333333
EPB41L4B	0.84375
FAM134B	3.7105
HS3ST3A1	-1.47566666666667
CPXM2	3.8655
SIRPB2	-0.0725
CHORDC1	-0.888
TRIB3	0.726
SLC2A5	0.64025
C2orf49	-0.467166666666667
DDX5	-0.1195
OR5L1	1.03
ANAPC4	-0.306833333333333
ZSWIM1	-0.46825
LOC93622	0.190375
KCNK3	-0.3599
RP11-35N6.1	-2.536625
ZFP161	0.0735
AQP9	2.04475
SLC15A2	-1.208
MREG	-0.706
OR9I1	0.054
PDLIM2	-0.541625
ADAM7	0.3415
GSTCD	-0.616166666666667
WDR21A	-0.205375
SLC12A8	1.07466666666667
TMEM174	0.043
IGSF3	-0.631
LRRN1	0.826
LOC402117	-0.2475
SRPK1	-0.940666666666667
LY6K	-1.1773125
NFIA	1.535
PTCD3	-0.30025
LEP	0.266166666666667
PCDH21	-0.9155
MAPKAPK2	0.839357142857143
NMNAT1	-0.226166666666667
LHFPL2	-0.164
C9orf43	1.9525
DIP2A	-0.959166666666667
ACTR8	0.435875
CCDC34	-0.21775
PTPN22	-1.98675
ITGA3	-0.60575
FAM129C	0.3135
RABGGTA	0.926666666666667
UNC45B	0.21025
KIAA1033	0.211
ZNF510	0.158666666666667
CYP2D6	-0.565166666666667
SLC26A10	-1.723
STX8	0.26225
LUZP1	-0.544375
WDR89	0.228333333333333
EIF4G3	-0.4771
C5AR1	0.523875
ZNF623	0.76
A2M	-0.05425
TGM7	0.2525
GRPEL1	-0.100166666666667
LMNB2	-1.0114
ROCK2	-0.351666666666667
SNX16	0.59425
CCDC66	0.3765
ANXA3	-1.744
KIAA1609	-0.30275
EED	-1.5755
RNF32	0.550333333333333
HES1	0.7646
CLC	0.292333333333333
ISL1	-0.673833333333333
KIAA0528	-0.052875
MANEA	0.48025
C1orf61	-1.283
hCG_2001000	0.84675
RAPGEF6	-0.4738
KIAA0020	-0.160333333333333
NEIL1	1.1805
C16orf45	-0.184
RBM10	0.177
C10orf125	-2.45875
MRS2L	-0.71775
DNAH17	-1.30728571428571
C19orf10	-1.23175
C1orf160	0.58075
SLFN12	0.55625
EXOC3	-0.3795
HIST3H3	0.12025
NCOR2	0.3965
TNFRSF9	-0.535
MFSD8	-0.246
ALX1	-2.66216666666667
NOL1	-0.3455
PODN	1.6735
TIAL1	-1.40675
HIST1H1E	-0.3715
NPY6R	0.266
TM4SF4	-0.3485
CORO2A	-0.04075
ETNK2	1.50916666666667
APOE	0.8228
ANGPT4	0.303
HDGF2	-0.26475
G30	0.593
ST8SIA4	-0.803125
F2RL1	-1.199875
FAM19A4	-2.5405
CCAR1	-0.11325
B3GNT7	-0.09575
OPHN1	-0.6047
DSCR6	1.4475
C21orf13	0.8755
GAS2L1	0.305916666666667
RFX3	0.2945
COPS4	-0.225625
BCHE	-4.98533333333333
BCL2	4.963875
HBZ	-2.85316666666667
ARL13B	0.960875
MAPBPIP	0.656375
MYO15B	0.183
SPZ1	-0.456
KIAA1324	2.13388888888889
PLCL2	-1.127875
C4orf29	-1.36075
WDFY2	-1.555125
ZNF284	-1.7745
NAALADL1	-0.754
DUSP5	1.42766666666667
PXDN	0.050125
SLMO1	0.501
TNXB	0.4926
BIRC7	-0.5605
A4GALT	0.232166666666667
TIMM22	0.8905
FAM110C	-1.31225
TOMM34	-1.202375
ABHD9	-0.212
ADAM32	0.4695
CRHBP	-0.448
AQP2	0.6145
LOC130355	0.8185
ZNF187	0.310666666666667
ZNF816A	1.615
F7	-1.037875
CNOT1	-0.4216
SLC13A4	-0.7515
ZBTB11	-0.2885
B3GALT5	0.3845
EXOC2	1.06566666666667
IRS1	1.1777
TMEM1	0.0676666666666667
MRPL34	0.0245
SAMM50	-0.759
CDC42EP3	-2.143125
HSF2	-0.4596
MFN2	-0.236
TSPAN7	-2.12666666666667
NUCB1	1.74491666666667
RHOH	-1.9345
ARL16	0.388
TACR1	0.1875
SFRS5	-0.9245
SNX25	0.882625
RHBDF1	0.827833333333333
PCDH18	0.6725
HMG1L1	-0.18875
MYO5C	3.186375
MAPK10	0.0895
LDHAL6A	-0.194
NUDT12	-0.0295
NCAM1	-0.2625
GLIS2	0.4715
GGTL4	-0.8765
DAPP1	-0.453
ATF7	0.25775
KIAA0748	-1.26775
NFIL3	-2.08825
TM6SF1	0.6534
SEZ6	0.028625
NANOS3	-0.054
DNAJA3	0.0335
CLDN6	-2.231
CIITA	1.9056
EPHA4	-1.97783333333333
FANCC	0.473
CMTM3	-0.115375
PSG3	-0.13925
MRPL15	-0.884
C21orf59	-0.39575
PLCXD2	-0.06525
C2orf34	-0.4275
UBE2L6	1.288875
MED14	0.00166666666666666
HP1BP3	-0.9653
C6orf208	-0.1725
TPBG	0.253
OSR2	-1.833125
XPC	0.855
KLHL7	-0.906833333333333
CCR3	-0.328
AGTPBP1	-0.508333333333333
PCSK6	1.781
STAT5A	-0.9623
FAM18B	0.0945
LONRF2	-1.07466666666667
PTPN2	-0.621875
SF3A3	-0.6515
EFCBP2	-0.5435
HCFC1	-0.427
AHNAK	0.13015
ACTR5	-0.24875
KIF14	-2.95371428571429
TENC1	1.2075
HEATR5B	0.5195
YIPF2	0.574833333333333
MYEOV2	1.03783333333333
DUSP18	0.166
KIAA1012	2.20425
AHR	-0.993666666666667
C17orf53	-0.518166666666667
PTPRH	-2.8535
ATP6V1C1	0.1723
TAS2R3	-0.277
LOC440356	-0.0845
COQ10B	-0.03325
PSMF1	1.01625
SORBS2	0.3015
NFE2L2	-1.2015
TMCO7	-0.3425
SH3PXD2A	-1.3674
SH2D2A	-1.884
SPINK5	-3.21075
MRPS24	-0.92725
OPA3	0.1735
TRAF7	0.0536666666666667
C4orf35	0.102333333333333
MT1G	-1.375625
MGC39545	0.9755
HS1BP3	0.5737
OR2B2	0.306
CHRM4	0.2845
SFRP2	2.10458333333333
RIC3	1.8295
ART1	0.055
C6orf1	0.498
DUS4L	-0.77625
C10orf104	0.73075
TNFAIP6	1.6225
RTEL1	-0.95275
CCT4	-0.6148
ZNF709	0.37925
CHMP6	0.649833333333333
UPP2	0.57
CYP19A1	-2.3135
CD151	-0.872166666666667
NDUFA13	0.0273333333333333
ARFRP1	-0.117833333333333
FAM26B	0.968
CRYBA1	-1.391
MRPL41	0.1425
NPFFR2	-1.19975
HRH2	0.131
SCAMP3	0.168333333333333
MTMR6	0.3531
MTG1	-0.398166666666667
UBTD1	1.00225
CRABP1	-2.8085
FLJ33790	1.0742
KIAA1908	0.202166666666667
GPR158	-2.67275
PACSIN3	0.795666666666667
OMD	1.92583333333333
CATSPER1	-0.792166666666667
HOXB8	-0.900625
FBXO46	0.8495
OAS1	2.39316666666667
SVIL	-0.836
PHB2	-0.47575
ADCY3	-0.7675
NDRG2	1.1315
ERMAP	0.4265
APBA2	0.232833333333333
IGSF9	1.21425
WNT6	0.0292857142857143
MYCBPAP	0.19475
ATP2B2	0.017
CPVL	-1.2949
TRAM2	-1.301
NOP5/NOP58	-0.20225
